VIN (1-10),Model Year,Base MSRP,vehicle_id
5YJ3E1EB2R,2024,0.0,310
7PDSGABA1R,2024,0.0,311
7SAYGDEFXR,2024,0.0,312
7SAYGDEFXR,2024,0.0,365
7SAYGDEE3P,2023,0.0,70
7SAYGDEE3P,2023,0.0,351
WMZ23BS04P,2023,0.0,313
1C4JJXP65P,2023,0.0,314
1C4JJXP61P,2023,0.0,315
1C4JJXP61P,2023,0.0,688
WBY43AW00P,2023,0.0,316
1G1FX6S04P,2023,0.0,317
5YJ3E1ECXP,2023,0.0,318
7SAYGDEE2P,2023,0.0,77
7SAYGDEE2P,2023,0.0,183
7SAYGDEE2P,2023,0.0,663
3MW39FS03P,2023,0.0,319
1C4JJXP66P,2023,0.0,132
7PDSGABA4P,2023,0.0,267
WB523CF02R,2024,0.0,320
7SAYGDEE3R,2024,0.0,119
7SAYGDEE3R,2024,0.0,160
7SAYGDEE3R,2024,0.0,321
JA4T5WA95R,2024,0.0,322
1G1FZ6S00P,2023,0.0,323
1G1FZ6S00P,2023,0.0,574
7SAYGAEE4P,2023,0.0,34
7SAYGAEE4P,2023,0.0,95
7SAYGAEE4P,2023,0.0,125
JM3KKDHA6R,2024,0.0,324
7SAXCBE68P,2023,0.0,325
7SAYGDEE9R,2024,0.0,27
7SAYGDEE9R,2024,0.0,227
7SAYGDEE1P,2023,0.0,43
7SAYGDEE1P,2023,0.0,64
7SAYGDED8R,2024,0.0,326
1G1FW6S0XP,2023,0.0,327
1G1FW6S0XP,2023,0.0,430
1C4RJXP62R,2024,0.0,328
1C4JJXR69P,2023,0.0,329
5YJ3E1EA8P,2023,0.0,114
JA4T5VA9XP,2023,0.0,330
7SAYGDEFXP,2023,0.0,17
7SAYGAEE2P,2023,0.0,246
7SAYGAEE2P,2023,0.0,331
7PDSGABA4P,2023,0.0,267
WB523CF05R,2024,0.0,332
KNDCS3LF4P,2023,0.0,333
WA15AAGEXR,2024,0.0,334
5YJ3E1EA4P,2023,0.0,138
5YJ3E1EA4P,2023,0.0,427
1C4JJXN63P,2023,0.0,75
7SAXCDE53R,2024,0.0,335
7G2CEHED6R,2024,0.0,336
1FTVW1EL3P,2023,0.0,173
1FTVW1EL3P,2023,0.0,337
WB523CF01R,2024,0.0,338
7SAYGDEE1R,2024,0.0,339
7SAYGDEE5P,2023,0.0,16
7SAYGDEE5P,2023,0.0,40
7SAYGDEE5P,2023,0.0,460
1V2DNPE83P,2023,0.0,340
7SAYGDEE0P,2023,0.0,112
7SAYGDEE0P,2023,0.0,341
1C4JJXN68P,2023,0.0,342
7PDSGCBAXR,2024,0.0,343
7SAYGDEE9P,2023,0.0,191
7SAYGDEE9P,2023,0.0,236
7SAYGDEE9P,2023,0.0,611
7SAYGDEE2R,2024,0.0,68
7SAYGDEE2R,2024,0.0,135
7SAYGDEE2R,2024,0.0,344
7SAYGDEE3R,2024,0.0,119
7SAYGDEE3R,2024,0.0,160
7SAYGDEE3R,2024,0.0,321
1C4JJXP6XP,2023,0.0,94
JTMAB3FV1P,2023,0.0,345
7SAYGDEE7R,2024,0.0,346
5YJ3E1EA1P,2023,0.0,113
JTMEB3FV5R,2024,0.0,347
1V2WNPE83P,2023,0.0,348
1V2WNPE83P,2023,0.0,396
JTMEB3FV7R,2024,0.0,349
WP0BB2Y13P,2023,0.0,350
7SAYGDEE7P,2023,0.0,55
7SAYGDEE7P,2023,0.0,62
7SAYGDEE7P,2023,0.0,103
7SAYGDEE7P,2023,0.0,687
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
7SAYGDEE6P,2023,0.0,367
7SAYGDEE3P,2023,0.0,70
7SAYGDEE3P,2023,0.0,351
JTMABABAXR,2024,0.0,281
JTMABABAXR,2024,0.0,352
WP0AA2Y1XR,2024,0.0,353
7SAYGAEE3P,2023,0.0,124
7SAYGAEE3P,2023,0.0,722
WBY73AW0XP,2023,0.0,354
5YJ3E1EA3P,2023,0.0,86
5YJ3E1EA3P,2023,0.0,355
5YJ3E1EA3P,2023,0.0,362
7SAYGAEE2P,2023,0.0,246
7SAYGAEE2P,2023,0.0,331
WBY33AW09R,2024,0.0,356
ZACPDFDW1R,2024,0.0,357
